Frame,Visibility,X,Y,Checked
269,1,57,315,
270,1,243,239,
271,1,428,162,
272,1,614,86,
273,1,800,10,
274,1,797,7,
275,1,797,7,
276,1,800,7,
277,1,797,10,
278,1,801,8,
279,1,796,10,
280,1,795,16,
281,1,796,30,
282,1,795,38,
283,1,795,46,
284,1,793,53,
285,1,793,66,
286,1,791,81,
287,1,790,91,
288,1,790,101,
289,1,786,115,ok
290,1,786,128,
291,1,786,141,
292,1,786,155,
293,1,783,170,
294,1,788,180,
295,1,790,190,ok
296,1,791,190,
297,1,805,173,
298,1,811,168,
299,1,818,165,ok
300,1,825,160,
301,1,832,155,
302,1,843,151,
303,1,846,153,
304,0,0,0,
305,0,0,0,
306,0,0,0,
307,0,0,0,
308,0,0,0,
309,0,0,0,
310,0,0,0,
311,1,866,171,
312,0,0,0,
313,0,0,0,
314,0,0,0,
315,0,0,0,
316,0,0,0,
317,0,0,0,
318,0,0,0,
319,0,0,0,
320,1,978,221,
321,1,475,365,edit
322,0,0,0,
323,0,0,0,
324,0,0,0,
325,0,0,0,
326,0,0,0,
327,0,0,0,
328,1,1107,217,
329,1,478,355,edit
330,1,1107,217,
331,1,1107,217,
332,1,408,300,ok
333,0,0,0,
334,1,368,276,
335,0,0,0,
336,0,0,0,
337,0,0,0,
338,0,0,0,
339,0,0,0,
340,1,205,226,
341,1,181,225,
342,0,0,0,
343,0,0,0,
344,0,0,0,
345,0,0,0,
346,0,0,0,
347,0,0,0,
348,0,0,0,
349,0,0,0,
350,1,1175,176,
351,0,0,0,
352,0,0,0,
353,0,0,0,
354,0,0,0,
355,0,0,0,
356,0,0,0,
357,0,0,0,
358,0,0,0,
359,0,0,0,
360,0,0,0,
361,0,0,0,
362,0,0,0,
363,1,792,112,
364,1,792,115,
365,1,792,115,
366,1,795,117,
367,1,795,120,
368,1,795,125,ok
369,1,797,130,
370,1,797,135,
371,1,800,142,
372,1,800,150,ok
373,1,800,157,
374,1,800,165,ok
375,1,801,171,
376,1,790,166,
377,1,776,166,
378,1,766,166,
379,1,751,168,
380,1,738,171,
381,1,723,171,
382,1,710,175,
383,1,687,180,
384,1,673,190,
385,1,658,193,
386,0,0,0,
387,0,0,0,
388,0,0,0,
389,1,960,145,
390,0,0,0,
391,0,0,0,
392,0,0,0,
393,0,0,0,
394,1,961,141,
395,1,961,140,
396,1,311,165,
397,0,0,0,
398,0,0,0,
399,1,311,163,
400,1,311,163,
401,1,313,165,
402,1,310,163,
403,1,308,165,
404,0,0,0,
405,0,0,0,
406,0,0,0,
407,1,260,295,
408,1,260,296,
409,1,260,303,
410,1,260,310,
411,1,261,315,
412,0,0,0,
413,0,0,0,
414,0,0,0,
415,0,0,0,
416,0,0,0,
417,0,0,0,
418,0,0,0,
419,0,0,0,
420,0,0,0,
421,0,0,0,
422,0,0,0,
423,0,0,0,
424,0,0,0,
425,0,0,0,
426,0,0,0,
427,0,0,0,
428,0,0,0,
429,0,0,0,
430,0,0,0,
431,0,0,0,
432,0,0,0,
433,0,0,0,
434,0,0,0,
435,0,0,0,
436,0,0,0,
437,1,655,20,
438,0,0,0,
439,0,0,0,
440,0,0,0,
441,0,0,0,
442,0,0,0,
443,0,0,0,
444,0,0,0,
445,0,0,0,
446,0,0,0,
447,0,0,0,
448,0,0,0,
449,0,0,0,
450,0,0,0,
451,1,233,270,
452,1,235,271,
453,1,236,275,
454,0,0,0,
455,1,242,280,
456,0,0,0,
457,0,0,0,
458,0,0,0,
459,0,0,0,
460,0,0,0,
461,0,0,0,
462,0,0,0,
463,0,0,0,
464,0,0,0,
465,0,0,0,
466,0,0,0,
467,0,0,0,
468,0,0,0,
469,0,0,0,
470,0,0,0,
471,0,0,0,
472,0,0,0,
473,0,0,0,
474,0,0,0,
475,0,0,0,
476,0,0,0,
477,0,0,0,
478,0,0,0,
479,0,0,0,
480,1,710,11,
481,0,0,0,
482,0,0,0,
483,0,0,0,
484,0,0,0,
485,0,0,0,
486,0,0,0,
487,1,717,75,
488,0,0,0,
489,1,720,77,
490,1,721,86,
491,1,721,91,
492,1,723,95,
493,1,723,100,
494,1,725,103,
495,1,728,118,ok
496,1,730,126,ok
497,1,731,138,
498,1,733,148,
499,1,733,161,
500,1,735,168,
501,1,738,181,
502,1,741,196,
503,1,741,206,
504,1,743,220,
505,1,748,228,
506,1,750,235,
507,1,751,241,
508,1,758,245,
509,1,760,245,
510,1,751,243,
511,1,751,230,
512,1,753,215,
513,1,751,200,
514,1,751,188,
515,1,753,176,
516,1,751,163,
517,1,751,153,
518,1,750,143,
519,1,750,135,
520,1,751,123,
521,1,750,115,
522,1,750,110,
523,1,750,100,
524,1,748,93,
525,1,750,86,
526,1,750,81,
527,1,750,75,
528,1,750,73,
529,1,750,70,
530,1,750,66,ok
531,1,750,65,
532,1,750,63,
533,1,750,63,
534,1,750,63,
535,1,750,63,
536,1,748,65,
537,1,748,66,
538,1,748,70,
539,1,748,73,
540,1,747,80,
541,1,748,85,
542,1,748,90,
543,1,746,96,
544,1,746,101,
545,1,746,111,
546,1,748,121,
547,1,748,128,
548,1,746,140,
549,1,748,150,
550,1,748,163,
551,1,748,175,
552,1,748,188,
553,1,748,203,
554,1,748,215,
555,1,747,227,
556,1,751,235,
557,0,0,0,
558,1,756,215,ok
559,1,758,196,
560,1,765,181,
561,1,766,168,
562,1,770,153,
563,1,775,138,
564,1,780,126,
565,1,781,113,
566,1,783,101,
567,1,786,90,
568,1,788,81,
569,1,793,70,
570,1,796,61,
571,1,801,56,ok
572,1,805,48,
573,1,808,41,
574,1,811,36,
575,1,815,33,
576,1,818,30,
577,0,0,0,
578,1,820,13,
579,0,0,0,
580,1,836,11,
581,0,0,0,
582,1,843,13,
583,1,845,15,
584,1,845,25,
585,1,855,35,
586,1,856,36,
587,1,858,43,
588,1,860,46,
589,1,865,55,
590,1,868,58,
591,1,871,66,
592,0,0,0,
593,1,881,83,
594,1,883,93,ok
595,1,885,101,
596,1,888,115,
597,1,893,126,
598,0,0,0,
599,0,0,0,
600,0,0,0,
601,1,805,130,
602,1,783,123,
603,0,0,0,
604,1,751,116,
605,1,733,115,
606,1,711,115,
607,1,686,115,
608,1,673,116,
609,1,646,121,
610,1,623,123,
611,1,601,128,
612,1,581,130,
613,1,565,136,ok
614,1,545,146,
615,1,521,161,
616,1,496,170,
617,1,475,183,
618,1,460,193,ok
619,1,441,213,ok
620,0,0,0,
621,0,0,0,
622,0,0,0,
623,1,340,290,
624,1,335,295,
625,1,308,326,
626,1,288,357,edit
627,1,268,382,edit
628,1,271,344,
629,1,266,337,
630,1,261,331,
631,1,271,308,
632,1,276,275,
633,1,281,245,
634,1,288,218,
635,1,300,195,
636,1,305,171,
637,1,311,140,
638,1,320,121,
639,1,328,98,
640,1,336,71,
641,1,348,58,
642,1,351,43,
643,1,356,30,
644,1,365,11,
645,1,375,13,
646,0,0,0,
647,0,0,0,
648,0,0,0,
649,0,0,0,
650,0,0,0,
651,0,0,0,
652,0,0,0,
653,0,0,0,
654,0,0,0,
655,0,0,0,
656,0,0,0,
657,0,0,0,
658,0,0,0,
659,0,0,0,
660,0,0,0,
661,0,0,0,
662,0,0,0,
663,0,0,0,
664,0,0,0,
665,0,0,0,
666,0,0,0,
667,0,0,0,
668,1,540,20,
669,1,546,30,ok
670,1,553,41,
671,0,0,0,
672,1,568,66,
673,1,578,83,
674,1,581,100,
675,1,591,116,
676,1,601,136,
677,1,601,151,
678,0,0,0,
679,1,613,191,
680,1,610,195,
681,0,0,0,
682,1,592,157,
683,0,0,0,
684,1,573,146,
685,1,570,136,
686,1,555,115,ok
687,1,545,103,
688,1,536,95,
689,1,521,85,ok
690,1,515,70,
691,1,500,60,
692,1,490,53,
693,1,481,45,
694,1,468,41,
695,1,458,36,
696,0,0,0,
697,1,445,31,
698,1,433,31,
699,1,428,31,
700,1,418,30,
701,1,410,31,
702,1,403,33,
703,1,391,38,
704,1,385,45,
705,1,378,46,
706,1,372,52,
707,1,368,56,
708,1,360,65,
709,0,0,0,
710,1,341,85,
711,1,335,96,
712,1,328,103,
713,1,321,121,
714,0,0,0,
715,1,308,148,
716,1,301,165,
717,1,330,165,
718,1,387,167,
719,1,432,172,
720,1,481,173,
721,0,0,0,
722,0,0,0,
723,1,598,198,
724,1,633,210,
725,1,678,218,
726,1,706,228,
727,1,730,243,
728,1,524,209,
729,1,317,175,
730,1,830,290,
731,1,442,257,
732,0,0,0,reject
733,1,615,264,
734,1,945,302,
735,1,944,302,edit
736,1,965,278,
737,1,975,271,
738,1,998,258,
739,1,1008,251,
740,1,1021,241,
741,1,1046,223,
742,1,1058,220,
743,1,1070,208,
744,1,1085,205,
745,1,1098,198,
746,0,0,0,
747,0,0,0,reject
748,0,0,0,
749,0,0,0,
750,0,0,0,
751,0,0,0,
752,0,0,0,reject
753,1,1206,183,
754,1,1220,186,
755,1,1230,188,
756,1,1240,190,
757,1,1246,195,
758,1,1262,200,
759,1,1263,198,
760,1,1275,210,
761,1,1247,201,
762,1,1219,191,ok
763,0,0,0,reject
764,1,1164,172,
765,1,1136,163,
766,1,1136,163,
767,1,1140,161,
768,1,1142,157,
769,1,1142,157,
770,0,0,0,reject
771,0,0,0,
772,0,0,0,
773,0,0,0,
774,0,0,0,reject
775,0,0,0,
776,0,0,0,
777,0,0,0,
778,0,0,0,
779,0,0,0,
780,1,570,260,
781,1,572,260,
782,0,0,0,
783,1,1000,282,
784,1,792,275,ok
785,0,0,0,
786,0,0,0,
787,0,0,0,
788,0,0,0,
789,1,655,95,
790,0,0,0,
791,0,0,0,
792,1,650,16,
793,1,798,106,
794,1,945,196,
795,1,1092,285,
796,0,0,0,reject
797,1,1245,367,
798,1,1245,367,
799,0,0,0,
800,0,0,0,
801,1,1070,575,
802,0,0,0,
803,1,235,275,
804,1,235,277,
805,0,0,0,reject
806,1,235,280,
807,1,232,285,
808,1,232,285,
809,1,235,295,ok
810,1,674,4,edit
811,1,983,408,
812,1,926,380,
813,0,0,0,reject
814,1,811,322,
815,1,754,294,
816,1,697,265,
817,1,692,200,
818,1,700,185,
819,1,685,6,edit
820,1,684,7,edit
821,1,673,8,edit
822,1,652,76,
823,1,681,3,edit
824,1,688,11,
825,1,688,31,
826,1,686,58,
827,0,0,0,
828,1,690,91,
829,0,0,0,
830,1,696,116,
831,0,0,0,
832,0,0,0,
833,0,0,0,
834,0,0,0,
835,0,0,0,
836,0,0,0,
837,0,0,0,
838,0,0,0,
839,0,0,0,
840,0,0,0,
841,0,0,0,
842,0,0,0,
843,0,0,0,
844,0,0,0,
845,0,0,0,
846,0,0,0,
847,0,0,0,
848,0,0,0,
849,0,0,0,
850,0,0,0,
851,0,0,0,
852,0,0,0,
853,0,0,0,
854,0,0,0,
855,0,0,0,
856,0,0,0,
857,0,0,0,
858,0,0,0,
859,1,700,341,
860,0,0,0,
861,0,0,0,
862,1,132,302,
863,1,52,322,
864,1,130,560,
865,0,0,0,reject
866,1,447,280,
867,1,540,307,
868,1,842,22,
869,1,845,22,
870,0,0,0,
871,0,0,0,
872,0,0,0,
873,1,541,183,edit
874,1,535,198,
875,1,536,195,
876,1,538,180,
877,0,0,0,
878,1,535,171,
879,1,536,165,
880,1,535,153,ok
881,1,535,148,
882,1,533,141,
883,1,530,136,
884,1,530,126,
885,1,536,121,
886,1,536,118,
887,1,536,115,
888,1,536,110,
889,1,536,106,
890,1,538,103,
891,1,536,100,
892,1,536,98,
893,1,536,96,
894,1,538,96,
895,1,540,96,
896,1,540,100,
897,1,541,101,
898,1,541,110,
899,0,0,0,
900,1,548,110,
901,1,548,121,
902,1,551,128,
903,1,551,136,
904,1,553,150,
905,1,555,161,
906,1,555,173,
907,1,556,191,
908,0,0,0,
909,0,0,0,
910,0,0,0,
911,0,0,0,
912,0,0,0,
913,1,570,120,
914,1,571,108,
915,1,571,81,
916,1,575,58,
917,1,581,41,
918,1,581,18,
919,1,581,8,
920,0,0,0,
921,0,0,0,
922,0,0,0,
923,0,0,0,
924,0,0,0,
925,0,0,0,
926,0,0,0,
927,0,0,0,
928,0,0,0,
929,0,0,0,
930,0,0,0,
931,0,0,0,
932,0,0,0,
933,0,0,0,
934,1,673,233,
935,1,673,230,
936,1,675,228,
937,1,675,228,
938,1,675,230,
939,1,676,228,
940,1,676,230,
941,1,630,7,edit
942,1,675,231,
943,1,675,233,
944,1,673,231,
945,1,850,297,
946,1,1028,363,
947,1,1025,366,
948,0,0,0,
949,0,0,0,
950,1,668,10,
951,1,670,20,
952,1,670,38,
953,1,671,45,
954,1,675,68,
955,1,678,86,
956,1,681,101,
957,1,685,121,
958,1,686,138,
959,1,686,146,
960,0,0,0,
961,0,0,0,
962,1,643,125,
963,1,621,116,
964,1,615,111,
965,1,593,101,
966,1,575,91,
967,1,563,85,
968,1,545,80,ok
969,1,523,73,
970,1,508,65,
971,1,491,63,
972,1,473,60,
973,1,458,60,
974,1,445,63,
975,1,433,63,
976,1,420,66,
977,1,403,68,
978,1,386,68,
979,0,0,0,
980,1,360,85,
981,1,338,90,
982,1,328,95,
983,1,313,103,
984,1,301,115,
985,1,285,123,
986,1,271,135,
987,0,0,0,
988,1,375,165,
989,1,375,160,
990,1,427,170,
991,0,0,0,
992,1,540,200,
993,0,0,0,
994,1,621,223,
995,0,0,0,
996,1,813,314,edit
997,1,300,465,
998,1,381,421,
999,0,0,0,
1000,0,0,0,
1001,0,0,0,
1002,0,0,0,
1003,1,786,201,
1004,1,781,180,
1005,0,0,0,
1006,0,0,0,
1007,1,766,110,
1008,1,760,88,
1009,1,756,73,
1010,1,753,58,
1011,0,0,0,
1012,1,741,18,
1013,1,738,16,
1014,0,0,0,
1015,0,0,0,
1016,0,0,0,
1017,0,0,0,
1018,0,0,0,
1019,0,0,0,
1020,0,0,0,
1021,0,0,0,
1022,0,0,0,
1023,0,0,0,
1024,0,0,0,
1025,0,0,0,
1026,0,0,0,
1027,0,0,0,
1028,0,0,0,
1029,0,0,0,
1030,0,0,0,
1031,0,0,0,
1032,0,0,0,
1033,0,0,0,
1034,0,0,0,
1035,1,118,268,
1036,1,120,260,
1037,1,118,255,
1038,1,118,248,
1039,1,115,245,
1040,1,113,241,
1041,1,107,235,
1042,1,105,232,
1043,1,108,233,
1044,1,97,230,
1045,1,103,231,
1046,1,103,230,
1047,1,100,231,
1048,1,101,230,
1049,1,101,231,
1050,1,97,222,
1051,1,97,222,
1052,1,97,222,
1053,1,100,225,
1054,1,100,225,
1055,0,0,0,reject
1056,1,539,8,edit
1057,1,97,222,
1058,1,560,20,
1059,1,555,40,
1060,1,551,48,
1061,0,0,0,
1062,0,0,0,
1063,1,540,116,
1064,1,536,138,
1065,0,0,0,
1066,1,526,191,ok
1067,0,0,0,
1068,1,521,221,
1069,1,518,228,
1070,1,512,217,
1071,1,508,198,
1072,1,503,183,
1073,1,500,176,
1074,1,498,163,
1075,1,495,150,
1076,1,491,138,
1077,1,485,128,
1078,1,483,123,
1079,1,481,116,
1080,1,475,105,
1081,1,473,100,ok
1082,1,470,96,
1083,1,468,91,
1084,1,465,90,
1085,1,461,90,
1086,1,458,90,
1087,1,456,88,
1088,1,455,88,
1089,1,450,90,
1090,1,448,91,
1091,1,445,96,
1092,1,443,100,
1093,1,441,103,
1094,1,441,108,
1095,1,431,115,ok
1096,1,431,123,
1097,1,430,128,
1098,0,0,0,
1099,1,430,141,
1100,1,430,146,
1101,1,431,151,
1102,1,431,151,
1103,1,433,151,
1104,1,433,148,
1105,1,433,145,
1106,0,0,0,
1107,0,0,0,
1108,0,0,0,
1109,0,0,0,
1110,1,428,130,
1111,1,425,132,ok
1112,1,421,135,
1113,1,421,135,
1114,1,421,136,
1115,1,421,141,
1116,1,420,148,
1117,1,418,153,ok
1118,1,418,161,
1119,1,418,168,
1120,1,416,176,
1121,1,418,181,
1122,1,418,195,
1123,0,0,0,
1124,0,0,0,
1125,0,0,0,
1126,0,0,0,
1127,1,421,210,
1128,0,0,0,
1129,0,0,0,
1130,0,0,0,
1131,0,0,0,
1132,1,456,213,
1133,1,463,215,ok
1134,1,471,216,
1135,1,475,221,
1136,1,483,226,
1137,1,486,233,
1138,1,495,241,ok
1139,1,500,248,
1140,1,511,260,
1141,1,512,262,
1142,0,0,0,
1143,0,0,0,
1144,0,0,0,
1145,0,0,0,
1146,0,0,0,
1147,0,0,0,
1148,0,0,0,
1149,0,0,0,
1150,0,0,0,
1151,0,0,0,
1152,0,0,0,
1153,0,0,0,
1154,0,0,0,
1155,0,0,0,
1156,0,0,0,
1157,0,0,0,
1158,0,0,0,
1159,0,0,0,
1160,0,0,0,
1161,0,0,0,
1162,0,0,0,
1163,0,0,0,
1164,0,0,0,
1165,0,0,0,
1166,0,0,0,
1167,0,0,0,
1168,0,0,0,
1169,0,0,0,
1170,0,0,0,
1171,0,0,0,
1172,1,1121,180,
1173,1,1121,178,
1174,1,1121,178,
1175,1,1120,175,
1176,1,1120,173,
1177,1,579,321,edit
1178,1,1120,170,
1179,0,0,0,
1180,0,0,0,
1181,1,561,255,
1182,0,0,0,
1183,1,556,231,
1184,1,553,221,
1185,1,550,208,
1186,1,546,201,
1187,0,0,0,
1188,0,0,0,
1189,0,0,0,
1190,1,540,180,
1191,1,538,176,
1192,1,536,171,
1193,1,535,170,
1194,1,530,170,
1195,1,528,168,
1196,1,526,170,
1197,1,523,171,
1198,1,521,173,
1199,1,526,179,edit
1200,1,520,180,ok
1201,1,518,186,
1202,1,516,191,
1203,1,520,198,
1204,1,518,205,ok
1205,1,516,215,
1206,1,518,225,
1207,1,518,230,ok
1208,1,522,385,
1209,1,526,540,
1210,1,529,488,
1211,1,545,234,edit
1212,1,534,383,
1213,1,537,331,
1214,1,540,278,
1215,1,543,226,
1216,1,477,547,
1217,1,544,225,edit
1218,1,538,250,
1219,1,540,232,
1220,1,540,232,
1221,1,536,226,
1222,1,536,220,
1223,0,0,0,
1224,1,528,205,
1225,1,526,201,
1226,1,523,195,
1227,1,520,190,
1228,0,0,0,
1229,0,0,0,
1230,1,506,180,
1231,1,501,178,
1232,1,498,180,
1233,1,493,178,ok
1234,1,488,180,
1235,1,483,181,
1236,1,475,188,
1237,1,473,190,
1238,1,468,195,
1239,1,463,200,
1240,1,460,205,
1241,1,456,208,
1242,1,448,221,
1243,1,445,230,
1244,1,443,241,
1245,1,435,251,
1246,1,430,270,
1247,1,423,283,
1248,1,420,295,
1249,1,416,310,
1250,0,0,0,
1251,1,402,355,edit
1252,1,405,355,
1253,1,870,552,
1254,1,880,550,
1255,1,405,325,
1256,1,412,302,ok
1257,0,0,0,
1258,1,427,260,
1259,1,438,235,
1260,1,443,216,
1261,1,455,195,
1262,1,461,173,
1263,1,468,155,
1264,1,475,141,
1265,1,486,130,
1266,1,493,118,
1267,1,498,110,
1268,1,510,96,
1269,1,518,86,
1270,1,528,76,
1271,1,536,73,
1272,1,545,65,
1273,1,554,63,edit
1274,1,561,58,
1275,1,568,53,
1276,1,578,53,
1277,1,588,55,
1278,1,593,55,
1279,1,603,56,
1280,1,610,60,
1281,1,618,61,
1282,1,626,70,ok
1283,1,633,73,
1284,1,645,81,
1285,1,650,88,
1286,1,658,100,
1287,1,668,108,
1288,1,673,121,ok
1289,1,685,136,
1290,0,0,0,
1291,0,0,0,
1292,1,710,178,
1293,0,0,0,
1294,1,715,195,
1295,1,720,210,
1296,0,0,0,
1297,0,0,0,
1298,0,0,0,
1299,1,683,153,
1300,1,680,148,
1301,1,673,140,
1302,0,0,0,
1303,1,658,125,
1304,1,653,115,
1305,0,0,0,
1306,1,631,110,
1307,1,625,103,
1308,1,616,101,
1309,0,0,0,
1310,1,603,103,
1311,1,595,103,
1312,1,590,108,
1313,1,581,110,
1314,1,575,111,ok
1315,1,565,113,
1316,1,560,121,
1317,1,551,128,
1318,1,546,136,
1319,1,540,143,
1320,1,532,155,
1321,1,528,171,
1322,1,526,181,
1323,1,546,200,
1324,1,570,208,
1325,1,592,230,
1326,1,600,253,
1327,1,520,272,
1328,1,522,275,
1329,1,522,277,
1330,1,652,362,edit
1331,0,0,0,reject
1332,1,527,292,
1333,1,525,295,
1334,1,525,297,
1335,0,0,0,
1336,1,620,290,
1337,0,0,0,
1338,0,0,0,
1339,0,0,0,
1340,0,0,0,
1341,0,0,0,
1342,0,0,0,
1343,0,0,0,
1344,0,0,0,
1345,0,0,0,
1346,0,0,0,
1347,0,0,0,
1348,0,0,0,
1349,0,0,0,
1350,0,0,0,
1351,0,0,0,
1352,0,0,0,
1353,0,0,0,
1354,0,0,0,
1355,0,0,0,
1356,0,0,0,
1357,0,0,0,
1358,0,0,0,
1359,0,0,0,
1360,0,0,0,
1361,0,0,0,
1362,0,0,0,
1363,0,0,0,
1364,0,0,0,
1365,0,0,0,
1366,0,0,0,
1367,0,0,0,
1368,0,0,0,
1369,0,0,0,
1370,0,0,0,
1371,0,0,0,
1372,0,0,0,
1373,0,0,0,
1374,0,0,0,
1375,0,0,0,
1376,0,0,0,
1377,0,0,0,
1378,0,0,0,
1379,0,0,0,
1380,0,0,0,
1381,0,0,0,
1382,0,0,0,
1383,0,0,0,
1384,0,0,0,
1385,0,0,0,
1386,1,855,116,
1387,0,0,0,
1388,1,240,305,
1389,1,240,302,
1390,1,811,2,edit
1391,1,242,302,
1392,1,839,5,edit
1393,0,0,0,
1394,0,0,0,
1395,0,0,0,
1396,0,0,0,
1397,0,0,0,
1398,0,0,0,
1399,0,0,0,
1400,0,0,0,
1401,0,0,0,
1402,0,0,0,
1403,0,0,0,
1404,0,0,0,
1405,0,0,0,
1406,0,0,0,
1407,0,0,0,
1408,0,0,0,
1409,0,0,0,
1410,0,0,0,
1411,0,0,0,
1412,0,0,0,
1413,0,0,0,
1414,0,0,0,
1415,0,0,0,
1416,0,0,0,
1417,0,0,0,
1418,0,0,0,
1419,0,0,0,
1420,0,0,0,
1421,0,0,0,
1422,0,0,0,
1423,0,0,0,
1424,0,0,0,
1425,0,0,0,
1426,0,0,0,
1427,0,0,0,
1428,0,0,0,
1429,1,951,180,
1430,0,0,0,
1431,0,0,0,
1432,1,936,66,
1433,0,0,0,
1434,1,925,68,
1435,1,918,68,
1436,1,913,71,
1437,1,910,81,
1438,1,901,85,
1439,1,900,91,ok
1440,1,891,100,
1441,1,886,111,
1442,1,883,126,
1443,1,876,140,
1444,1,875,155,
1445,1,870,170,
1446,1,863,188,ok
1447,1,860,203,
1448,1,856,221,
1449,0,0,0,
1450,1,848,253,
1451,0,0,0,
1452,1,843,295,
1453,1,840,310,
1454,1,836,313,ok
1455,1,831,288,
1456,1,828,263,
1457,1,828,245,
1458,1,821,225,
1459,1,821,205,
1460,1,818,188,
1461,1,816,166,
1462,1,813,143,
1463,1,811,126,
1464,1,810,111,
1465,1,806,96,
1466,1,803,83,
1467,1,801,66,
1468,1,796,58,
1469,1,795,45,
1470,1,795,36,
1471,1,791,21,
1472,1,793,13,
